epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,107.457,1.0604,0.96088,0.93309,0.95066,0.99663,0.995,0.74161,0.97168,0.65626,0.92102,0.0004555,0.0004555,0.0004555
57,109.31,1.00888,1.15377,0.96194,0.94483,1,0.99119,0.74442,0.97302,0.65852,0.91823,0.0004456,0.0004456,0.0004456
58,111.295,1.053,1.05647,0.96643,0.94937,1,0.99119,0.73294,0.99094,0.64071,0.91695,0.0004357,0.0004357,0.0004357
59,113.138,1.05798,1.08886,1.00424,0.94937,1,0.99119,0.73294,0.99094,0.64071,0.91695,0.0004258,0.0004258,0.0004258
60,114.986,1.03108,1.10861,0.97877,0.95857,0.99629,0.99119,0.74032,0.97132,0.62589,0.91269,0.0004159,0.0004159,0.0004159
61,116.84,1.00396,0.96462,0.92976,0.94446,0.98394,0.9831,0.73075,0.93123,0.63327,0.91451,0.000406,0.000406,0.000406
62,118.687,1.00452,1.09323,0.95485,0.93219,0.99335,0.9831,0.72809,0.97143,0.63599,0.9147,0.0003961,0.0003961,0.0003961
63,120.513,0.98754,1.01758,0.93944,0.93219,0.99335,0.9831,0.72809,0.97143,0.63599,0.9147,0.0003862,0.0003862,0.0003862
64,122.382,1.03245,1.02135,0.98545,0.9597,0.99742,0.98714,0.7406,0.97361,0.62181,0.91196,0.0003763,0.0003763,0.0003763
65,124.21,1.05607,1.05065,0.96659,0.93827,1,0.98714,0.74661,0.97883,0.63715,0.90985,0.0003664,0.0003664,0.0003664
66,126.082,0.98963,0.98771,0.93548,0.92546,1,0.98714,0.75202,0.97169,0.64028,0.90523,0.0003565,0.0003565,0.0003565
67,127.964,1.06782,1.04127,0.98929,0.92546,1,0.98714,0.75202,0.97169,0.64028,0.90523,0.0003466,0.0003466,0.0003466
68,129.809,1.08421,1.00628,0.98039,0.94423,0.99618,0.98714,0.77268,0.94416,0.61546,0.89797,0.0003367,0.0003367,0.0003367
69,131.655,0.99437,0.98613,0.95361,0.92882,1,0.9831,0.76901,0.93574,0.61112,0.89631,0.0003268,0.0003268,0.0003268
70,133.483,1.06369,0.99941,0.98481,0.91887,1,0.9831,0.76073,0.94202,0.61401,0.89819,0.0003169,0.0003169,0.0003169
71,135.303,0.99485,0.94465,0.93233,0.91887,1,0.9831,0.76073,0.94202,0.61401,0.89819,0.000307,0.000307,0.000307
72,137.135,1.00954,0.94063,0.95249,0.92048,1,0.9831,0.74849,0.96161,0.61681,0.90244,0.0002971,0.0002971,0.0002971
73,138.963,0.97273,0.92828,0.94355,0.94844,1,0.97524,0.74963,0.96354,0.60161,0.90394,0.0002872,0.0002872,0.0002872
74,140.805,0.96589,0.95976,0.96428,0.94747,0.99961,0.97524,0.73658,1.00756,0.596,0.91162,0.0002773,0.0002773,0.0002773
75,142.615,1.00508,0.94393,0.95537,0.94747,0.99961,0.97524,0.73658,1.00756,0.596,0.91162,0.0002674,0.0002674,0.0002674
76,144.44,1.03883,0.95447,0.9447,0.94323,0.99627,0.97131,0.72724,1.01032,0.60799,0.91133,0.0002575,0.0002575,0.0002575
77,146.306,1.0469,1.03506,0.98349,0.95031,0.99917,0.97131,0.72491,1.01294,0.59942,0.91495,0.0002476,0.0002476,0.0002476
78,148.25,1.03595,0.91821,0.9437,0.95878,0.99619,0.97131,0.72538,1.00004,0.5908,0.91356,0.0002377,0.0002377,0.0002377
79,150.16,0.95917,0.87616,0.91982,0.95878,0.99619,0.97131,0.72538,1.00004,0.5908,0.91356,0.0002278,0.0002278,0.0002278
80,152.023,0.99799,0.91123,0.94061,0.95569,1,0.97131,0.72159,0.99282,0.58513,0.91094,0.0002179,0.0002179,0.0002179
81,153.909,0.96017,0.96036,0.94345,0.95417,1,0.97524,0.73238,0.99825,0.58727,0.91145,0.000208,0.000208,0.000208
82,155.754,0.92133,0.90256,0.91662,0.95281,1,0.97524,0.7449,0.99161,0.58926,0.91108,0.0001981,0.0001981,0.0001981
83,157.58,0.98242,0.87374,0.92798,0.95281,1,0.97524,0.7449,0.99161,0.58926,0.91108,0.0001882,0.0001882,0.0001882
84,159.449,0.9399,1.01471,0.96581,0.95693,1,0.97524,0.72997,1.00693,0.58677,0.91316,0.0001783,0.0001783,0.0001783
85,161.328,0.98595,0.90995,0.95339,0.95791,1,0.97524,0.72,1.05359,0.58981,0.92012,0.0001684,0.0001684,0.0001684
86,163.161,1.03786,0.9078,0.93714,0.9623,1,0.97524,0.71232,1.05622,0.59604,0.9177,0.0001585,0.0001585,0.0001585
87,164.998,0.97233,0.96531,0.97059,0.9623,1,0.97524,0.71232,1.05622,0.59604,0.9177,0.0001486,0.0001486,0.0001486
88,166.846,0.78927,3.76478,0.78479,0.96663,1,0.97929,0.72296,1.03795,0.59226,0.91374,0.0001387,0.0001387,0.0001387
89,168.69,0.95943,0.92598,0.93642,0.96461,1,0.97929,0.72661,1.00897,0.57356,0.90874,0.0001288,0.0001288,0.0001288
90,170.545,0.93673,0.97908,0.94637,0.96465,1,0.97929,0.73612,0.97976,0.55894,0.90509,0.0001189,0.0001189,0.0001189
91,177.823,0.90307,0.94241,0.94965,0.96465,1,0.97929,0.73612,0.97976,0.55894,0.90509,0.000109,0.000109,0.000109
92,179.644,0.96957,0.94163,0.94018,0.96408,1,0.97929,0.73289,0.97158,0.56094,0.9069,9.91e-05,9.91e-05,9.91e-05
93,181.427,0.98807,0.92434,0.97066,0.95883,1,0.97929,0.72535,0.96393,0.56878,0.90432,8.92e-05,8.92e-05,8.92e-05
94,183.262,0.96047,0.98094,0.94241,0.95423,1,0.97929,0.72449,0.95805,0.56708,0.9027,7.93e-05,7.93e-05,7.93e-05
95,185.051,0.95609,0.99779,0.93458,0.95423,1,0.97929,0.72449,0.95805,0.56708,0.9027,6.94e-05,6.94e-05,6.94e-05
96,186.849,0.96676,0.94517,0.97919,0.95303,1,0.97929,0.7336,0.96242,0.571,0.90274,5.95e-05,5.95e-05,5.95e-05
97,188.668,0.91402,0.91449,0.94064,0.95315,0.99744,0.97929,0.73153,0.96425,0.57112,0.90284,4.96e-05,4.96e-05,4.96e-05
98,190.493,0.8561,0.88234,0.91483,0.95221,0.99726,0.97929,0.727,0.96605,0.577,0.90274,3.97e-05,3.97e-05,3.97e-05
99,192.282,1.00983,0.91426,0.9671,0.95221,0.99726,0.97929,0.727,0.96605,0.577,0.90274,2.98e-05,2.98e-05,2.98e-05
100,194.09,1.01001,1.00446,1.03978,0.95273,0.99725,0.97929,0.73103,0.9683,0.57896,0.90203,1.99e-05,1.99e-05,1.99e-05
1,2.41455,3.1108,4.92496,2.0832,0,0,0,0,2.99245,4.46344,1.78094,5e-05,5e-05,5e-05
2,3.64988,2.8104,4.75835,1.88578,0.00156,0.04762,0.00109,0.00033,2.21621,4.19504,1.45131,0.000108911,0.000108911,0.000108911
3,4.73295,2.27766,4.52191,1.69498,0.00802,0.21429,0.0395,0.01429,1.57742,4.19532,1.21905,0.000166634,0.000166634,0.000166634
4,5.79268,1.5738,4.13448,1.27397,0.00681,0.28571,0.15212,0.1055,1.35422,4.04109,1.0404,0.000223169,0.000223169,0.000223169
5,6.83791,1.34806,3.79371,1.13553,0.00681,0.30952,0.18924,0.10804,1.25586,3.93694,1.00355,0.000278516,0.000278516,0.000278516
6,7.88337,1.43074,3.46692,1.10611,0.83333,0.11273,0.22213,0.13859,1.21417,3.71381,0.97096,0.000332675,0.000332675,0.000332675
7,8.93527,1.31218,3.20117,1.08252,0.98592,0.09524,0.24319,0.1258,1.24782,3.40245,0.95538,0.000385646,0.000385646,0.000385646
8,9.93902,1.35305,2.83934,1.06656,1,0.09115,0.32252,0.18932,1.15627,3.32085,0.94969,0.000437429,0.000437429,0.000437429
9,10.97,1.52625,2.67037,1.13879,1,0.05138,0.38306,0.2344,1.11586,3.3638,0.95762,0.000488024,0.000488024,0.000488024
10,12.0295,1.33786,2.3401,1.08912,1,0.14671,0.42994,0.21974,1.31447,3.34654,1.06946,0.000537431,0.000537431,0.000537431
11,13.0786,1.30787,2.28827,1.10757,1,0.17186,0.48636,0.28528,1.27562,3.13867,1.06052,0.00058565,0.00058565,0.00058565
12,14.1142,1.2671,1.9948,1.06159,0.94121,0.30943,0.50784,0.28092,1.35676,3.01052,1.10165,0.000632681,0.000632681,0.000632681
13,15.143,1.2311,1.97152,1.01346,0.9285,0.32538,0.56381,0.27662,1.5026,2.77487,1.10501,0.000678524,0.000678524,0.000678524
