epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1287.95,1.05267,0.87502,0.95236,0.94669,0.9904,0.97929,0.73459,1.01196,0.89868,0.9067,0.000336118,0.000336118,0.000336118
59,1311.84,1.10146,0.90525,0.96443,0.94669,0.9904,0.97929,0.73459,1.01196,0.89868,0.9067,0.000324471,0.000324471,0.000324471
60,1334.82,1.12437,0.88956,0.95893,0.94955,0.99237,0.97929,0.71398,1.05571,0.86797,0.91642,0.000312824,0.000312824,0.000312824
61,1357.39,1.0182,0.85703,0.93122,0.95732,1,0.97929,0.72834,1.00911,0.83348,0.90521,0.000301176,0.000301176,0.000301176
62,1380.32,1.04625,0.82897,0.94881,0.95277,1,0.97929,0.74447,0.96394,0.82238,0.89342,0.000289529,0.000289529,0.000289529
63,1402.22,1.02572,0.87492,0.96543,0.95277,1,0.97929,0.74447,0.96394,0.82238,0.89342,0.000277882,0.000277882,0.000277882
64,1426.11,1.02873,0.82969,0.95584,0.958,0.99571,0.97929,0.74276,0.95682,0.82759,0.89052,0.000266235,0.000266235,0.000266235
65,1449.09,1.01213,0.82084,0.95208,0.94786,0.99791,0.97929,0.72041,0.98137,0.84472,0.8933,0.000254588,0.000254588,0.000254588
66,1471.26,1.06078,0.97465,0.95557,0.94986,0.99792,0.97524,0.71729,0.99758,0.82909,0.89955,0.000242941,0.000242941,0.000242941
67,1493.88,1.02652,0.90993,0.95328,0.94986,0.99792,0.97524,0.71729,0.99758,0.82909,0.89955,0.000231294,0.000231294,0.000231294
68,1516.24,1.06886,0.85507,0.95748,0.95527,0.99809,0.97929,0.70849,0.99044,0.80301,0.90515,0.000219647,0.000219647,0.000219647
69,1538.98,1.10068,0.85725,0.98279,0.9536,0.9963,0.97929,0.7379,0.9801,0.80353,0.90749,0.000208,0.000208,0.000208
70,1562.32,1.13442,1.09414,0.99096,0.95128,0.99503,0.97929,0.74082,0.98151,0.81538,0.90433,0.000196353,0.000196353,0.000196353
71,1584.75,1.07781,0.84152,0.991,0.95128,0.99503,0.97929,0.74082,0.98151,0.81538,0.90433,0.000184706,0.000184706,0.000184706
72,1607.01,1.01329,0.89867,0.95401,0.95335,0.99539,0.97929,0.7256,0.98384,0.81054,0.90344,0.000173059,0.000173059,0.000173059
73,1629.5,1.05154,0.85395,0.95494,0.95285,1,0.97929,0.72036,0.98437,0.79731,0.90348,0.000161412,0.000161412,0.000161412
74,1651.97,1.0983,0.87376,0.97147,0.94949,0.99595,0.97929,0.72002,0.97788,0.79057,0.90221,0.000149765,0.000149765,0.000149765
75,1674.16,0.9693,0.82085,0.93709,0.94949,0.99595,0.97929,0.72002,0.97788,0.79057,0.90221,0.000138118,0.000138118,0.000138118
76,1696.75,1.01422,0.83479,0.9148,0.95061,0.98974,0.97929,0.72128,0.9558,0.77999,0.90042,0.000126471,0.000126471,0.000126471
77,1719.38,1.06157,0.8137,0.98193,0.96067,0.98257,0.97929,0.73531,0.93018,0.77964,0.89888,0.000114824,0.000114824,0.000114824
78,1742.68,1.01593,0.84586,0.93138,0.96362,0.98329,0.97929,0.75373,0.91315,0.78071,0.89808,0.000103176,0.000103176,0.000103176
79,1764.5,1.02019,0.83691,0.9652,0.96362,0.98329,0.97929,0.75373,0.91315,0.78071,0.89808,9.15294e-05,9.15294e-05,9.15294e-05
80,1788.03,1.01057,0.83902,0.92338,0.96073,0.98757,0.97929,0.75032,0.90684,0.78667,0.89748,7.98824e-05,7.98824e-05,7.98824e-05
81,1810.48,1.03552,0.84544,0.91956,0.95919,0.99194,0.97524,0.75269,0.90728,0.79543,0.89602,6.82353e-05,6.82353e-05,6.82353e-05
82,1833.45,0.99902,0.83461,0.96284,0.95892,0.99412,0.97524,0.75733,0.90723,0.79773,0.89518,5.65882e-05,5.65882e-05,5.65882e-05
83,1856.44,1.04775,0.81628,0.9542,0.95892,0.99412,0.97524,0.75733,0.90723,0.79773,0.89518,4.49412e-05,4.49412e-05,4.49412e-05
84,1878.5,1.1343,0.86843,0.93452,0.95844,0.99444,0.97524,0.75199,0.91182,0.79608,0.8952,3.32941e-05,3.32941e-05,3.32941e-05
